Prix,Année,Boite,Carburant,secteur,kilometrage,marque,model,nbr de portes,origine,premiére main,puissance fiscale,état,km_min,km_max,km_moyen,km_binned
261500.0,2021,Automatique,Diesel,"Haut-Founty, Agadir",85 000 - 89 999,VOLKSWAGEN,Golf 8,5.0,Pas encore dédouanée,Non,6.0,Excellent,85000,89999,87499.5,50k-100k
305000.0,2020,Manuelle,Diesel,"La Ville Haute, Kénitra",100 000 - 109 999,VOLKSWAGEN,Tiguan,5.0,WW au Maroc,Oui,8.0,Très bon,100000,109999,104999.5,100k-150k
220000.0,2021,Automatique,Hybride,"Hay Mohammadi, Casablanca",30 000 - 34 999,TOYOTA,Corolla,5.0,WW au Maroc,Oui,10.0,Excellent,30000,34999,32499.5,0-50k
300000.0,2017,Automatique,Diesel,"Centre Ville, Nador",190 000 - 199 999,VOLKSWAGEN,Touran,5.0,Dédouanée,Non,8.0,Neuf,190000,199999,194999.5,150k-200k
225000.0,2015,Automatique,Diesel,"Zemmouri, Tanger",170 000 - 179 999,SEAT,Leon,5.0,Dédouanée,Non,8.0,Excellent,170000,179999,174999.5,150k-200k
380000.0,2000,Manuelle,Essence,"Abattoirs, Agadir",30 000 - 34 999,HONDA,Civic,5.0,WW au Maroc,Non,8.0,Excellent,30000,34999,32499.5,0-50k
320000.0,2018,Automatique,Diesel,"Ain Sebaa, Casablanca",100 000 - 109 999,MERCEDES-BENZ,220,5.0,Importée neuve,Oui,9.0,Très bon,100000,109999,104999.5,100k-150k
350000.0,2020,Automatique,Diesel,"Toute la ville, Agadir Melloul",40 000 - 44 999,HYUNDAI,Santa Fe,5.0,Dédouanée,Oui,9.0,Excellent,40000,44999,42499.5,0-50k
450000.0,2021,Automatique,Diesel,"Californie, Casablanca",75 000 - 79 999,BMW,Série 5,5.0,WW au Maroc,Oui,7.0,Excellent,75000,79999,77499.5,50k-100k
210000.0,2024,Manuelle,Diesel,"Ain Sebaa, Casablanca",10 000 - 14 999,OPEL,Corsa,5.0,WW au Maroc,Oui,6.0,Excellent,10000,14999,12499.5,0-50k
315000.0,2021,Automatique,Diesel,"Hay Moulay Rachid, Casablanca",75 000 - 79 999,VOLKSWAGEN,Golf 8,5.0,WW au Maroc,Oui,8.0,Excellent,75000,79999,77499.5,50k-100k
205000.0,2022,Automatique,Diesel,"Al Qods, Casablanca",5 000 - 9 999,HYUNDAI,I30,5.0,WW au Maroc,Oui,6.0,Très bon,5000,9999,7499.5,0-50k
235000.0,2017,Automatique,Diesel,"Hay Saada, Fès",180 000 - 189 999,PEUGEOT,3008,5.0,WW au Maroc,Non,8.0,Excellent,180000,189999,184999.5,150k-200k
290000.0,2015,Automatique,Diesel,"Ville verte, Bouskoura",100 000 - 109 999,BMW,X5,5.0,WW au Maroc,Non,12.0,Très bon,100000,109999,104999.5,100k-150k
225000.0,2022,Automatique,Hybride,"Harhoura, Temara",70 000 - 74 999,TOYOTA,C-Hr,5.0,WW au Maroc,Oui,10.0,Excellent,70000,74999,72499.5,50k-100k
310000.0,2019,Automatique,Diesel,"Centre Ville, Temara",170 000 - 179 999,VOLKSWAGEN,Tiguan,5.0,WW au Maroc,Oui,8.0,Excellent,170000,179999,174999.5,150k-200k
325000.0,2023,Automatique,Diesel,"Toute la ville, Al Hoceima",30 000 - 34 999,VOLKSWAGEN,T-Roc,5.0,WW au Maroc,Oui,8.0,Très bon,30000,34999,32499.5,0-50k
375000.0,2023,Automatique,Diesel,"Centre Ville, Mohammedia",25 000 - 29 999,MITSUBISHI,Pajero Sport,5.0,WW au Maroc,Oui,10.0,Excellent,25000,29999,27499.5,0-50k
220000.0,2014,Automatique,Diesel,"Toute la ville, Mechra Bel Ksiri",300 000 - 349 999,AUDI,Q5,5.0,Dédouanée,Non,8.0,Excellent,300000,349999,324999.5,300k-400k
420000.0,2017,Automatique,Diesel,"Souissi, Rabat",170 000 - 179 999,AUDI,Q7,5.0,WW au Maroc,Oui,12.0,Excellent,170000,179999,174999.5,150k-200k
370000.0,2018,Automatique,Diesel,"Al Wifaq, Agadir",180 000 - 189 999,AUDI,Q3,5.0,Dédouanée,Oui,8.0,Très bon,180000,189999,184999.5,150k-200k
455000.0,2016,Automatique,Diesel,"Abdelmoumen, Casablanca",65 000 - 69 999,MASERATI,Levante,5.0,WW au Maroc,Non,12.0,Excellent,65000,69999,67499.5,50k-100k
259000.0,2022,Automatique,Diesel,"Centre ville, Tanger",20 000 - 24 999,RENAULT,Megane,5.0,WW au Maroc,Oui,6.0,Très bon,20000,24999,22499.5,0-50k
400000.0,2018,Automatique,Diesel,"Hay Najah, Agadir",120 000 - 129 999,AUDI,Q7,5.0,WW au Maroc,Oui,12.0,Excellent,120000,129999,124999.5,100k-150k
230000.0,2018,Automatique,Diesel,"Sidi Bernoussi, Casablanca",130 000 - 139 999,VOLKSWAGEN,Tiguan,5.0,WW au Maroc,Oui,8.0,Excellent,130000,139999,134999.5,100k-150k
410000.0,2021,Automatique,Diesel,"Amal, El Jadida",100 000 - 109 999,AUDI,A3,5.0,Importée neuve,Non,8.0,Excellent,100000,109999,104999.5,100k-150k
307000.0,2023,Automatique,Diesel,"Centre Ville, Temara",75 000 - 79 999,VOLKSWAGEN,Caddy,5.0,WW au Maroc,Oui,8.0,Excellent,75000,79999,77499.5,50k-100k
230000.0,2021,Manuelle,Diesel,"Al Wifaq, Agadir",35 000 - 39 999,JEEP,Compass,5.0,WW au Maroc,Oui,6.0,Excellent,35000,39999,37499.5,0-50k
410000.0,2021,Automatique,Diesel,"Centre, Kénitra",45 000 - 49 999,VOLKSWAGEN,Tiguan,5.0,Pas encore dédouanée,Oui,11.0,Excellent,45000,49999,47499.5,0-50k
210000.0,2021,Manuelle,Diesel,"Marjane 2, Meknès",140 000 - 149 999,FORD,Kuga,5.0,WW au Maroc,Oui,11.0,Très bon,140000,149999,144999.5,100k-150k
235000.0,2021,Automatique,Diesel,"Autre secteur, Skhirat",50 000 - 54 999,HYUNDAI,I30,5.0,WW au Maroc,Oui,7.0,Très bon,50000,54999,52499.5,50k-100k
